context_name,chips_id,easting,northing,edtf,sample_name,typology,C,Na,Mg,Al,Si,P,S,Cl,K,Ca,Mn,Fe,loss_on_ignition,Ag,As,Ba,Be,Bi,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,deltafe56,deltafe57,Ga,Gd,Ge,Hf,Ho,In,La,Li,Lu,Mo,Nb,Nd,Ni,Os,os187_os188,os187_os186,Pb,Pd,Pr,Rb,Ru,Sb,Sc,Se,Sm,Sn,Sr,sr87_sr86,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,major_method,major_analytical_setup,trace_method,trace_analytical_setup,reference,url,dataset
Rancié 01,1623,1.5259,42.7694,0200?~/1900?~,GPS 56,Ore,,,,,,,,,,,,,,,2.9,4.8,0.51,0.12,0.08,5.3,8.5,11,-0.001,441,0.15,0.11,5.84,,,1.1,0.33,0.82,0.3,-0.001,0.03,1.9,,0.02,3.11,0.5,2.4,9.5,,,,19.9,,0.69,0.1,,0.77,1.3,,0.37,3,1.6,,-0.001,0.03,,1.4,,,-0.001,4.5,8,-0.001,0.2,0.1,525,11.2,MEB-EDS,LPS - Cambridge Stereoscan 120,MEB-EDS,LPS - Cambridge Stereoscan 120,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,362,1.5259,42.7694,0200?~/1900?~,GPS 59,Ore,,,,,,,,,,,,,,,0.3,9.3,-0.001,0.02,0.06,11.6,0.7,-0.001,-0.001,1.3,1.34,0.62,1.19,,,2,2.06,0.74,0.4,0.21,0.22,8.2,,0.13,1.04,0.4,8.1,2.5,,,,3.1,,2,0.4,,1.12,0.4,,2.32,6,14.4,,-0.001,0.26,,0.5,,,0.12,1.3,-0.001,16,5.7,0.83,28,-0.001,ICP-MS,ALS Chemex - Unknown ME-MS61,ICP-MS,ALS Chemex - Unknown ME-MS61,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,1624,1.5259,42.7694,0200?~/1900?~,GPS45a,Ore,,0.1,0.4,1.22,3.35,0.63,0.03,,0.41,11.17,6.27,49.78,,,694.41,35.72,,,,19.34,1.15,0.38,0.03,,,,2.69,,,,,,-0.001,,,17.49,,,1.74,0.11,15.14,9.51,,,,,,,3.04,,2.09,0.21,,3.16,,70.32,,0.02,0.38,,0.15,0.005,,,1.96,2.92,0.18,17.9,1.11,367.86,1.39,MEB-EDS,LPS - Cambridge Stereoscan 120,MEB-EDS,LPS - Cambridge Stereoscan 120,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,363,1.5259,42.7694,0200?~/1900?~,GPS46a,Ore,,0.19,0.7,0.33,1.92,0.31,0.41,,0.29,24.28,1.91,43.42,,,-0.001,66.4,0.06,0.02,0.51,98.3,0.8,-0.001,0.28,0.3,8.95,3.66,8.36,,,2.2,13.85,1.08,-0.001,1.46,0.49,53.9,,0.31,5.02,0.6,56.8,17,,,,9.1,,13.35,1.7,,0.99,0.8,,13.95,1,39.4,,-0.001,1.86,,0.5,,,0.5,4.4,7,11,43.3,2.7,91,0.5,ICP-MS,ALS Chemex - Unknown ME-MS61,ICP-MS,ALS Chemex - Unknown ME-MS61,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,1625,1.5259,42.7694,0200?~/1900?~,GPS47,Ore,,0.2,1.19,0.22,2.62,0.17,0.32,,0.17,23.16,2.74,42.19,,,25.94,-0.001,,,,32.44,4.33,55.88,0.29,,,,1.99,,,,,,2.06,,,19.49,,,1.8,2.91,12.86,4.81,,,,,,,1.18,,2.07,0.93,,2.46,,103.05,,15.52,3.48,,3.36,0.052,,,1.2,2.93,24.02,4.11,1.5,258.8,2.31,MEB-EDS,LPS - Cambridge Stereoscan 120,MEB-EDS,LPS - Cambridge Stereoscan 120,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,364,1.5259,42.7694,0200?~/1900?~,GPS53,Ore,,0.01,0.08,0.11,0.35,0,0.01,,0.01,1.81,1.66,73.22,,,5.8,2.7,0.05,0.02,0.07,1.7,1,-0.001,0.06,17.6,0.12,0.03,0.15,,,0.8,0.25,2.51,-0.001,-0.001,0.27,1.4,,-0.001,0.39,1.1,0.8,3.1,,,,2.4,,0.19,0.8,,7.09,0.1,,0.21,-0.001,12.6,,-0.001,0.01,,-0.001,,,0.01,1.2,-0.001,2,1.9,-0.001,-0.001,0.7,ICP-MS,ALS Chemex - Unknown ME-MS61,ICP-MS,ALS Chemex - Unknown ME-MS61,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,1608,1.5259,42.7694,0200?~/1900?~,R1,Ore,,0.22,1,0.59,3.15,0.09,0.22,,0.28,28.41,6.69,31.72,,,347,294,,,,55.5,19.3,1,1.31,,,,2.96,,,,,,0.1,,,36.84,,,1.02,0.7,23.8,27.5,,,,,,,6,,4.79,0.57,,4.02,,155,,0.03,0.39,,0.33,0.008,,,1.79,5,7.8,11.3,0.49,,4,MEB-EDS,LPS - Cambridge Stereoscan 120,MEB-EDS,LPS - Cambridge Stereoscan 120,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,1609,1.5259,42.7694,0200?~/1900?~,R10,Ore,,0.2,0.63,0.13,4.1,0.12,0.21,,0.11,41.79,2.25,21.41,,,406,590,,,,174.7,3.6,1,1.87,,,,10.7,,,,,,0.24,,,70.56,,,9.77,0.7,71.3,14.9,,,,,,,8.3,,12,2.67,,16.41,,90,,0.05,1.55,,2.07,0.005,,,2.45,3,-0.001,34.6,3.1,,10,MEB-EDS,LPS - Cambridge Stereoscan 120,MEB-EDS,LPS - Cambridge Stereoscan 120,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,1610,1.5259,42.7694,0200?~/1900?~,R11,Ore,,,0.58,0.49,1.89,0.01,0.06,,0.3,37.39,3.48,28.65,,,55.7,164.9,,,,20.9,6.2,1,0.56,,,,2.56,,,,,,0.55,,,12.63,,,8.96,0.6,17.6,21,,,,,,,12.5,,23.1,1.74,,1.95,,86,,0.07,0.34,,1.34,0.012,,,3.32,10,3.1,8.9,0.58,,39,MEB-EDS,LPS - Cambridge Stereoscan 120,MEB-EDS,LPS - Cambridge Stereoscan 120,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,1611,1.5259,42.7694,0200?~/1900?~,R12,Ore,,0.17,0.26,0.12,0.68,0.07,0.24,,0.15,21.76,1.03,50.47,,,2.05,2325,,,,45.7,1.6,1,0.15,,,,2.15,,,,,,-0.001,,,28.32,,,0.41,0.3,10.3,9.3,,,,,,,0.6,,0.91,0.19,,2.96,,90,,-0.001,0.28,,0.15,0.01,,,1.19,6,15,7.2,0.35,,4,MEB-EDS,LPS - Cambridge Stereoscan 120,MEB-EDS,LPS - Cambridge Stereoscan 120,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,1612,1.5259,42.7694,0200?~/1900?~,R2,Ore,,0.14,0.03,0.1,1.69,0.03,0.23,,0.16,0.71,1.41,71.73,,,18.2,240,,,,47.5,7.3,1,0.64,,,,2.41,,,,,,0.06,,,25.37,,,0.31,0.3,17.7,39.9,,,,,,,3.1,,2.65,0.31,,3.37,,70,,-0.001,0.27,,0.28,0.005,,,2.41,2,22.2,6.6,0.43,,19,MEB-EDS,LPS - Cambridge Stereoscan 120,MEB-EDS,LPS - Cambridge Stereoscan 120,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,1613,1.5259,42.7694,0200?~/1900?~,R3,Ore,,0.04,0.87,0.13,12.37,0.05,0.2,,0.16,18.33,3.04,32.2,,,75.5,601,,,,42.7,3.4,1,1.02,,,,2.47,,,,,,0.14,,,23.68,,,1.78,0.6,26.3,17.1,,,,,,,5.9,,2.78,0.59,,3.45,,69,,0.03,0.35,,0.52,0.011,,,2.22,5,12.7,9.8,0.49,,19,MEB-EDS,LPS - Cambridge Stereoscan 120,MEB-EDS,LPS - Cambridge Stereoscan 120,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,1614,1.5259,42.7694,0200?~/1900?~,R5,Ore,,0.17,3.65,0.05,0.75,0.1,0.23,,0.12,45.67,2.43,18.82,,,12.5,472,,,,11.4,0.62,1,0.05,,,,1.19,,,,,,-0.001,,,60.01,,,0.59,0.4,-0.001,0,,,,,,,11.2,,13.73,0.89,,1.19,,8,,0.01,0.42,,0.23,0.005,,,1.05,2,28.2,5,0.13,,-0.001,MEB-EDS,LPS - Cambridge Stereoscan 120,MEB-EDS,LPS - Cambridge Stereoscan 120,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,1615,1.5259,42.7694,0200?~/1900?~,R6,Ore,,0.14,0.42,0.1,3.3,0.04,0.17,,0.19,1.56,8.46,60.57,,,109.1,74.2,,,,17.1,8,1,0.06,,,,0.71,,,,,,-0.001,,,10.57,,,2.08,0.5,-0.001,64,,,,,,,8.6,,3.14,1.14,,1.12,,18,,-0.001,0.42,,0.1,0.006,,,2.56,6,7.2,2.9,0.14,,5,MEB-EDS,LPS - Cambridge Stereoscan 120,MEB-EDS,LPS - Cambridge Stereoscan 120,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,1616,1.5259,42.7694,0200?~/1900?~,R7,Ore,,0.53,0.75,0.88,2.02,0.08,0.16,,0.36,27.97,6.15,34.25,,,6.24,334,,,,28.4,0.47,1,0.49,,,,2.14,,,,,,-0.001,,,17.71,,,1.83,0.7,15.4,5.1,,,,,,,9.8,,5.77,0.44,,2.31,,92,,0.04,0.24,,0.28,0.007,,,4.76,4,5.8,6.5,0.26,,11,MEB-EDS,LPS - Cambridge Stereoscan 120,MEB-EDS,LPS - Cambridge Stereoscan 120,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,1617,1.5259,42.7694,0200?~/1900?~,R8,Ore,,1.33,0.02,0.92,6.42,0.05,0.17,,0.51,0.29,5.63,57.28,,,4.5,147.7,,,,21.2,0.86,1,0.06,,,,1.44,,,,,,-0.001,,,10.56,,,1.77,0.1,5.1,3.1,,,,,,,0.5,,0.37,0.42,,2.4,,65,,-0.001,0.3,,-0.001,0.013,,,1.75,7,-0.001,12.8,0.65,,8,MEB-EDS,LPS - Cambridge Stereoscan 120,MEB-EDS,LPS - Cambridge Stereoscan 120,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
Rancié 01,325,1.5259,42.7694,0200?~/1900?~,R9,Ore,,0.12,2.08,0.04,2.04,0.06,0.18,,0.11,25.73,4.03,38.83,,,29.7,863,,,,73.4,13.7,1,0.63,,,,3.01,,,,,,-0.001,,,43.14,,,0.62,0.5,24.4,36,,,,,,,3.6,,2.64,0.51,,4.13,,44,,0.07,0.41,,0.5,0.005,,,3.6,4,6.8,9.3,0.32,,-0.001,ICP-MS,ALS Chemex - Unknown ME-MS61,ICP-MS,ALS Chemex - Unknown ME-MS61,"Stéphanie Leroy, Serge Cohen, Catherine Verna, Bernard Gratuze, Florian Téreygeol, Philippe Fluzin, Loic Bertrand, Philippe Dillmann (2012), The medieval iron market in Ariège (France). Multidisciplinary analytical approach and multivariate analyses, Journal of Archaeological Science, 39",https://www.sciencedirect.com/science/article/pii/S0305440311004468#tbl5,dataset_sleroy12
