table_name	column_name	comment
chips	bibreference	Numeric. Unique identifier of analytical devices in the 'literature' table, used as foreign key in the 'analyses' table
chips	os187_os186	Numeric. Isotopic ratio between the 187 and 186 isotopes of Osmium
chips	os_ppt	Numeric. Mass fraction of  in the analysed material, expressed as pg.g-1 (or ppt)
chips	ag	Numeric. Mass fraction of  in the analysed material, expressed as �g.g-1 (or ppm)
chips	sr87_sr86	Numeric. Isotopic ratio between the 87 and 86 isotopes of Strontium
chips	li	Numeric. Mass fraction of  in the analysed material, expressed as �g.g-1 (or ppm)
chips	tl	Numeric. Mass fraction of  in the analysed material, expressed as �g.g-1 (or ppm)
chips	ru	Numeric. Mass fraction of  in the analysed material, expressed as �g.g-1 (or ppm)
chips	re	Numeric. Mass fraction of  in the analysed material, expressed as �g.g-1 (or ppm)
chips	se	Numeric. Mass fraction of  in the analysed material, expressed as �g.g-1 (or ppm)
chips	te	Numeric. Mass fraction of  in the analysed material, expressed as �g.g-1 (or ppm)
chips	carbon	Numeric. Mass fraction of Carbon in the analysed material, expressed as %wt
chips	h	Numeric. Mass fraction of Hydrogen in the analysed material, expressed as �g.g-1 (or ppm)
chips	he	Numeric. Mass fraction of Helium in the analysed material, expressed as �g.g-1 (or ppm)
chips	b	Numeric. Mass fraction of Boron in the analysed material, expressed as �g.g-1 (or ppm)
chips	n	Numeric. Mass fraction of Nitrogen in the analysed material, expressed as %wt
chips	f	Numeric. Mass fraction of Fluorine in the analysed material, expressed as �g.g-1 (or ppm)
chips	ar	Numeric. Mass fraction of Argon in the analysed material, expressed as �g.g-1 (or ppm)
chips	br	Numeric. Mass fraction of Bromine in the analysed material, expressed as �g.g-1 (or ppm)
chips	kr	Numeric. Mass fraction of Krypton in the analysed material, expressed as �g.g-1 (or ppm)
chips	tc	Numeric. Mass fraction of Technetium in the analysed material, expressed as �g.g-1 (or ppm)
chips	rh	Numeric. Mass fraction of Rhodium in the analysed material, expressed as �g.g-1 (or ppm)
chips	i	Numeric. Mass fraction of Iodine in the analysed material, expressed as �g.g-1 (or ppm)
chips	xe	Numeric. Mass fraction of Xenon in the analysed material, expressed as �g.g-1 (or ppm)
chips	ir	Numeric. Mass fraction of Iridium in the analysed material, expressed as �g.g-1 (or ppm)
chips	pt	Numeric. Mass fraction of Platinum in the analysed material, expressed as �g.g-1 (or ppm)
chips	au	Numeric. Mass fraction of Gold in the analysed material, expressed as �g.g-1 (or ppm)
chips	hg	Numeric. Mass fraction of Mercury in the analysed material, expressed as �g.g-1 (or ppm)
echantillons	id_ech	Numeric. Unique identifier of samples, used as primary key in the 'samples' table
echantillons	id_site	Numeric. Unique identifier of sites, used as foreign key in the 'samples' table
echantillons	id_typo	Numeric. Unique identifier of typological descriptors, used as foreign key in the 'samples' table
echantillons	nom_ech	String. Name given to the sample
echantillons	referent	Numeric. Person in charge of the management of sampling
echantillons	type_metal	String. Type of metallurgy involved
echantillons	bibreference	Numeric. Unique identifier of analytical devices in the 'literature' table, used as foreign key in the 'samples' table
echantillons	bibreference2	Numeric. Unique identifier of analytical devices in the 'literature' table, used as foreign key in the 'samples' table in case of multiple publications
echantillons	commentaire	String. Free comments on the sample
elements	z_element	Numeric. Atomic number of a given chemical elements corresponding to the number of protons in the nucleus, used as primary key of the 'elements' table
elements	symbole	String. Symbol of the chemical element as defined by the IUPAC, and referenced in the ISO 80000-9 standard
elements	nom	String. Name given to the chemical element
elements	masse_atomique	Numeric. Atomic mass of the chemical element, expressed as unified atomic mass units as defined by the UIPPA and reference in the ISO 80000-9 standard
elements	masse_volumique	Numeric. Mass in tons of a volume of 1 cube meter composed of a pure chemical element
elements	t_fusion	Numeric. Temperature at which the chemical compound melts, expressed in Celsius degrees
elements	t_ebullition	Numeric. Temperature at which the chemical compound evaporates, expressed in Celsius degrees
erreurs	id_erreurs	Numeric. Unique identifier of errors used as a primary key in the 'errors' table
erreurs	id_chips	Numeric. Unique identifier of analyses in the 'analyses' table, used as a foreign key in the 'errors' table
erreurs	o_err	Numeric. Calculated measurement error linked to the measurement of Oxygen for the corresponding analysis in 'analyses' table, expressed as %wt
erreurs	na_err	Numeric. Calculated measurement error linked to the measurement of Sodium for the corresponding analysis in 'analyses' table, expressed as %wt
erreurs	mg_err	Numeric. Calculated measurement error linked to the measurement of Magnesium for the corresponding analysis in 'analyses' table, expressed as %wt
erreurs	al_err	Numeric. Calculated measurement error linked to the measurement of Aluminium for the corresponding analysis in 'analyses' table, expressed as %wt
erreurs	si_err	Numeric. Calculated measurement error linked to the measurement of Silicon for the corresponding analysis in 'analyses' table, expressed as %wt
erreurs	p_err	Numeric. Calculated measurement error linked to the measurement of Phosphorus for the corresponding analysis in 'analyses' table, expressed as %wt
erreurs	s_err	Numeric. Calculated measurement error linked to the measurement of Sulphur for the corresponding analysis in 'analyses' table, expressed as %wt
erreurs	cl_err	Numeric. Calculated measurement error linked to the measurement of Chloride for the corresponding analysis in 'analyses' table, expressed as %wt
erreurs	k_err	Numeric. Calculated measurement error linked to the measurement of Potassium for the corresponding analysis in 'analyses' table, expressed as %wt
erreurs	ca_err	Numeric. Calculated measurement error linked to the measurement of Calcium for the corresponding analysis in 'analyses' table, expressed as %wt
erreurs	mn_err	Numeric. Calculated measurement error linked to the measurement of Manganese for the corresponding analysis in 'analyses' table, expressed as %wt
erreurs	fe_err	Numeric. Calculated measurement error linked to the measurement of Iron for the corresponding analysis in 'analyses' table, expressed as %wt
erreurs	as_err	Numeric. Calculated measurement error linked to the measurement of Arsenic for the corresponding analysis in 'analyses' table, expressed as %wt
erreurs	ba_err	Numeric. Calculated measurement error linked to the measurement of Barium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	be_err	Numeric. Calculated measurement error linked to the measurement of Beryllium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	bi_err	Numeric. Calculated measurement error linked to the measurement of Bismuth for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	cd_err	Numeric. Calculated measurement error linked to the measurement of Cadmium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	ce_err	Numeric. Calculated measurement error linked to the measurement of Cerium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	co_err	Numeric. Calculated measurement error linked to the measurement of Cobalt for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	cr_err	Numeric. Calculated measurement error linked to the measurement of Chromium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	cs_err	Numeric. Calculated measurement error linked to the measurement of Cesium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	cu_err	Numeric. Calculated measurement error linked to the measurement of Copper for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	dy_err	Numeric. Calculated measurement error linked to the measurement of Dysprosium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	er_err	Numeric. Calculated measurement error linked to the measurement of Erbium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	eu_err	Numeric. Calculated measurement error linked to the measurement of Europium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	ga_err	Numeric. Calculated measurement error linked to the measurement of Gallium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	gd_err	Numeric. Calculated measurement error linked to the measurement of Gadolinium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	ge_err	Numeric. Calculated measurement error linked to the measurement of Germanium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	hf_err	Numeric. Calculated measurement error linked to the measurement of Hafnium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	ho_err	Numeric. Calculated measurement error linked to the measurement of Hollium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
