table	column	comment
analyses	ho	Numeric. Mass fraction of Holmium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	in	Numeric. Mass fraction of Indium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	la	Numeric. Mass fraction of Lanthanum in the analysed material, expressed as µg.g-1 (or ppm)
analyses	lu	Numeric. Mass fraction of Lutetium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	mo	Numeric. Mass fraction of Molybdenum in the analysed material, expressed as µg.g-1 (or ppm)
analyses	nb	Numeric. Mass fraction of Niobium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	nd	Numeric. Mass fraction of Neodymium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	ni	Numeric. Mass fraction of Nickel in the analysed material, expressed as µg.g-1 (or ppm)
analyses	pb	Numeric. Mass fraction of Lead in the analysed material, expressed as µg.g-1 (or ppm)
analyses	pd	Numeric. Mass fraction of Palladium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	pr	Numeric. Mass fraction of Praseodymium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	rb	Numeric. Mass fraction of Rubidium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	sb	Numeric. Mass fraction of Antimony in the analysed material, expressed as µg.g-1 (or ppm)
analyses	sc	Numeric. Mass fraction of Scandium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	sm	Numeric. Mass fraction of Samarium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	sn	Numeric. Mass fraction of Tin in the analysed material, expressed as µg.g-1 (or ppm)
analyses	sr	Numeric. Mass fraction of Strontium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	ta	Numeric. Mass fraction of Tantalum in the analysed material, expressed as µg.g-1 (or ppm)
analyses	tb	Numeric. Mass fraction of Terbium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	th	Numeric. Mass fraction of Thorium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	ti	Numeric. Mass fraction of Titanium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	tm	Numeric. Mass fraction of Thulium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	u	Numeric. Mass fraction of Uranium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	v	Numeric. Mass fraction of Vanadium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	w	Numeric. Mass fraction of Tungten in the analysed material, expressed as µg.g-1 (or ppm)
analyses	y	Numeric. Mass fraction of Yttrium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	yb	Numeric. Mass fraction of Ytterbium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	zn	Numeric. Mass fraction of Zinc in the analysed material, expressed as µg.g-1 (or ppm)
analyses	zr	Numeric. Mass fraction of Zirconium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	os187_os188	Numeric. Isotopic ratio between the 187 and 188 isotopes of Osmium
analyses	open	Boolean. Boolean value indicating if the related analysis is open access or not
analyses	delta57fe	Numeric. Quotient of the isotopic ratio between the 57 and 54 isotopes of Iron in the sample by the isotopic ratio between the 57 and 54 isotopes of Iron in an international standard, expressed as µ
analyses	delta56fe	Numeric. Quotient of the isotopic ratio between the 56 and 54 isotopes of Iron in the sample by the isotopic ratio between the 56 and 54 isotopes of Iron in an international standard, expressed as µ
analyses	setup_isotope_id	Numeric. Unique identifier of analytical devices in the 'machines' table, used as foreign key in the 'analyses' table
analyses	lab_number	Numeric. Internal reference of the Centre de Recherches Pétrographiques et géochimiques
analyses	bibreference	Numeric. Unique identifier of analytical devices in the 'literature' table, used as foreign key in the 'analyses' table
analyses	os187_os186	Numeric. Isotopic ratio between the 187 and 186 isotopes of Osmium
analyses	os_ppt	Numeric. Mass fraction of  in the analysed material, expressed as pg.g-1 (or ppt)
analyses	ag	Numeric. Mass fraction of  in the analysed material, expressed as µg.g-1 (or ppm)
analyses	sr87_sr86	Numeric. Isotopic ratio between the 87 and 86 isotopes of Strontium
analyses	li	Numeric. Mass fraction of Lithium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	tl	Numeric. Mass fraction of Thallium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	ru	Numeric. Mass fraction of Ruthenium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	re	Numeric. Mass fraction of Rhenium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	se	Numeric. Mass fraction of Selenium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	te	Numeric. Mass fraction of Tellurium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	c	Numeric. Mass fraction of Carbon in the analysed material, expressed as %wt
analyses	h	Numeric. Mass fraction of Hydrogen in the analysed material, expressed as µg.g-1 (or ppm)
analyses	he	Numeric. Mass fraction of Helium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	b	Numeric. Mass fraction of Boron in the analysed material, expressed as µg.g-1 (or ppm)
analyses	n	Numeric. Mass fraction of Nitrogen in the analysed material, expressed as %wt
analyses	f	Numeric. Mass fraction of Fluorine in the analysed material, expressed as µg.g-1 (or ppm)
analyses	ar	Numeric. Mass fraction of Argon in the analysed material, expressed as µg.g-1 (or ppm)
analyses	br	Numeric. Mass fraction of Bromine in the analysed material, expressed as µg.g-1 (or ppm)
analyses	kr	Numeric. Mass fraction of Krypton in the analysed material, expressed as µg.g-1 (or ppm)
analyses	tc	Numeric. Mass fraction of Technetium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	rh	Numeric. Mass fraction of Rhodium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	i	Numeric. Mass fraction of Iodine in the analysed material, expressed as µg.g-1 (or ppm)
analyses	xe	Numeric. Mass fraction of Xenon in the analysed material, expressed as µg.g-1 (or ppm)
analyses	ir	Numeric. Mass fraction of Iridium in the analysed material, expressed as µg.g-1 (or ppm)
analyses	pt	Numeric. Mass fraction of Platinum in the analysed material, expressed as µg.g-1 (or ppm)
analyses	au	Numeric. Mass fraction of Gold in the analysed material, expressed as µg.g-1 (or ppm)
analyses	hg	Numeric. Mass fraction of Mercury in the analysed material, expressed as µg.g-1 (or ppm)
echantillons	id_ech	Numeric. Unique identifier of samples, used as primary key in the 'samples' table
echantillons	id_site	Numeric. Unique identifier of sites, used as foreign key in the 'samples' table
echantillons	id_typo	Numeric. Unique identifier of typological descriptors, used as foreign key in the 'samples' table
echantillons	nom_ech	String. Name given to the sample
echantillons	referent	Numeric. Person in charge of the management of sampling
echantillons	type_metal	String. Type of metallurgy involved
echantillons	bibreference	Numeric. Unique identifier of analytical devices in the 'literature' table, used as foreign key in the 'samples' table
echantillons	bibreference2	Numeric. Unique identifier of analytical devices in the 'literature' table, used as foreign key in the 'samples' table in case of multiple publications
echantillons	commentaire	String. Free comments on the sample
elements	z_element	Numeric. Atomic number of a given chemical elements corresponding to the number of protons in the nucleus, used as primary key of the 'elements' table
elements	symbole	String. Symbol of the chemical element as defined by the IUPAC, and referenced in the ISO 80000-9 standard
elements	nom	String. Name given to the chemical element
elements	masse_atomique	Numeric. Atomic mass of the chemical element, expressed as unified atomic mass units as defined by the UIPPA and reference in the ISO 80000-9 standard
elements	masse_volumique	Numeric. Mass in tons of a volume of 1 cube meter composed of a pure chemical element
elements	t_fusion	Numeric. Temperature at which the chemical compound melts, expressed in Celsius degrees
elements	t_ebullition	Numeric. Temperature at which the chemical compound evaporates, expressed in Celsius degrees
measurement errors	id_erreurs	Numeric. Unique identifier of errors used as a primary key in the 'errors' table
measurement errors	id_chips	Numeric. Unique identifier of analyses in the 'analyses' table, used as a foreign key in the 'errors' table
measurement errors	o_err	Numeric. Calculated measurement error linked to the measurement of Oxygen for the corresponding analysis in 'analyses' table, expressed as %wt
measurement errors	na_err	Numeric. Calculated measurement error linked to the measurement of Sodium for the corresponding analysis in 'analyses' table, expressed as %wt
measurement errors	mg_err	Numeric. Calculated measurement error linked to the measurement of Magnesium for the corresponding analysis in 'analyses' table, expressed as %wt
measurement errors	al_err	Numeric. Calculated measurement error linked to the measurement of Aluminium for the corresponding analysis in 'analyses' table, expressed as %wt
measurement errors	si_err	Numeric. Calculated measurement error linked to the measurement of Silicon for the corresponding analysis in 'analyses' table, expressed as %wt
measurement errors	p_err	Numeric. Calculated measurement error linked to the measurement of Phosphorus for the corresponding analysis in 'analyses' table, expressed as %wt
